song names,song genre
Marea (we’ve lost dancing) - Fred again..,"['edm', 'house', 'stutter house']"
1942 Flows - Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Homecoming - Kanye West,"['chicago rap', 'hip hop', 'rap']"
in a room7 F760 - Aphex Twin,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']"
Move Your Body - Öwnboss,['brazilian edm']
Pink + White - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
PAYDAY - DELUXE - prodbyalecs,[]
Liverpool Street In The Rain - Mall Grab,"['aussietronica', 'australian house', 'lo-fi house']"
"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix - Sia","['australian dance', 'australian pop', 'pop']"
Black Friday - The Kendrick,[]
Reborn - KIDS SEE GHOSTS,['rap']
TEMPTATION - Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap']"
Jack Black - Andrew Kish,[]
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd) - Mike WiLL Made-It","['atl hip hop', 'rap', 'southern hip hop', 'trap']"
From the Garden (feat. Lil Uzi Vert) - Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
Round (feat. Juice WRLD) - Yung Bans,"['cloud rap', 'plugg', 'trap', 'underground hip hop']"
Roses (with Juice WRLD feat. Brendon Urie) - benny blanco,['pop']
Trifling - lovepeace,[]
Fire - Ecstsy,[]
Not Morphine (Freestyle) - aarxn,[]
Electric Chair - Little Mosey,[]
Thinking - Juice,[]
Demon - Last Dude,[]
I'm Here - Juice,[]
What Is Love - Last Dude,[]
Handle - Last Dude,[]
Roaring Thunder - Daniel Larson,[]
Southside - Daniel Larson,[]
i n t e r l u d e - J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Stacking Itt - 0n3arth,[]
Disguis3 - 0n3arth,[]
Came From PBS Kids Now We VVS Kids - 0n3arth,[]
Oceans Wrld Thugger - 001bench,[]
I$$A I$$a - 0n3arth,[]
Slime & Pluto - 9000,[]
SKR - Lifeof9000,[]
Back To Back - Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Closer - The Chainsmokers,['pop']
"Crossfire, Part II (feat. Talib Kweli & KillaGraham) - Stephen",['la pop']
"Crossfire, Part II - Stephen",['la pop']
Crossfire - Stephen,['la pop']
Showin Off Pt.1 (feat. Fivio Foreign) - Pop Smoke,"['brooklyn drill', 'rap']"
Mr. Rager - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Show Out (with Skepta & Pop Smoke) - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Sept. 16 - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
The Void - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
"Solo Dolo, Pt. III - Kid Cudi","['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Tequila Shots - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
